country_code,pre_2000_cables,era_2000_2009_cables,era_2010_2019_cables,era_2020_plus_cables,total_cables
AE,4,4,6,0,14
AL,4,1,1,0,6
AU,3,8,6,0,17
BE,10,1,0,0,11
BG,1,1,0,0,2
BR,0,2,2,0,4
CA,3,1,3,0,7
CH,2,0,0,0,2
CL,0,2,0,0,2
CN,2,7,3,0,12
CO,0,2,0,0,2
CR,1,0,0,0,1
CY,7,1,7,0,15
DE,7,4,0,0,11
DK,9,8,0,0,17
DZ,2,1,1,0,4
EG,3,3,5,0,11
ES,7,4,1,0,12
FI,6,3,0,0,9
FR,10,5,4,0,19
GB,21,14,10,0,45
GH,0,1,4,0,5
GR,0,1,0,0,1
GU,1,3,1,0,5
HO,0,3,1,0,4
IC,1,2,1,0,4
ID,1,2,3,0,6
IE,10,4,5,0,19
IL,4,1,2,0,7
IN,2,5,4,0,11
IS,7,3,3,0,13
IT,10,6,5,0,21
JP,2,8,6,0,16
KO,1,0,0,0,1
KR,2,6,2,0,10
LA,2,1,0,0,3
LE,5,1,5,0,11
LI,3,1,0,0,4
MA,4,6,6,0,16
MO,1,0,0,0,1
MY,0,4,2,0,6
NG,0,1,4,0,5
NL,9,1,0,0,10
NO,1,0,0,0,1
NZ,1,1,3,0,5
PA,0,1,0,0,1
PE,1,2,0,0,3
PH,1,3,1,0,5
PL,2,0,0,0,2
PT,3,3,4,0,10
PU,5,8,5,0,18
QA,1,1,2,0,4
RO,1,1,0,0,2
RU,0,2,1,0,3
SE,11,5,0,0,16
SG,1,15,6,0,22
SL,1,0,0,0,1
SU,0,0,1,0,1
TH,0,1,0,0,1
TR,3,1,0,0,4
TW,1,2,2,0,5
TZ,0,1,2,0,3
UR,1,0,1,0,2
US,9,28,9,0,46
VE,0,3,1,0,4
VN,0,2,0,0,2
ZA,0,2,5,0,7
