country_code,population,peak_consumption_tbps,total_capacity_tbps,utilization_percent,num_cities,num_cables,data_per_person_kbps
NO,1900000,0.01596,0.5,3.1919999999999997,3,1,40
PL,3500000,0.0294,1.0,2.94,2,2,40
TR,25600000,0.1344,6.5,2.0676923076923077,4,4,25
CH,2400000,0.02016,1.0,2.016,6,2,40
SL,800000,0.00672,0.5,1.344,2,1,40
TH,10700000,0.05617499999999998,5.0,1.1234999999999997,1,1,25
VN,16700000,0.087675,10.0,0.8767500000000001,2,2,25
GR,4200000,0.03528,5.0,0.7056,2,1,40
CR,400000,0.00336,0.5,0.672,1,1,40
KO,400000,0.00336,0.5,0.672,1,1,40
DE,16800000,0.14112,23.5,0.6005106382978723,7,11,40
NL,5600000,0.04703999999999999,9.5,0.4951578947368421,9,10,40
PE,11000000,0.04619999999999999,10.5,0.43999999999999995,1,3,20
MO,400000,0.0021,0.5,0.42,1,1,25
US,174800000,1.8353999999999995,594.5,0.30873002523128673,73,46,50
RO,1900000,0.01596,5.5,0.29018181818181815,1,2,40
CL,6800000,0.02856,10.0,0.2856,1,2,20
BE,3300000,0.02772,10.0,0.2772,4,11,40
BG,1600000,0.01344,5.5,0.24436363636363637,2,2,40
IN,80900000,0.424725,226.0,0.18793141592920354,7,11,25
CN,56500000,0.296625,186.0,0.1594758064516129,6,12,25
LI,1200000,0.01008,6.5,0.15507692307692308,2,4,40
ES,13500000,0.1134,73.5,0.1542857142857143,4,12,40
RU,14100000,0.074025,60.0,0.12337499999999998,5,3,25
CA,17600000,0.1848,156.5,0.11808306709265176,10,7,50
KR,29000000,0.15225,131.0,0.11622137404580153,2,10,25
PH,14300000,0.075075,65.5,0.11461832061068704,2,5,25
LA,800000,0.00672,6.0,0.11200000000000002,1,3,40
JP,58000000,0.3045,341.0,0.08929618768328446,4,16,25
SE,2800000,0.023519999999999996,30.5,0.07711475409836065,4,16,40
FI,1300000,0.01092,18.0,0.06066666666666666,1,9,40
FR,16100000,0.13524,230.0,0.0588,5,19,40
CO,1200000,0.00504,10.0,0.0504,3,2,20
AU,16200000,0.15309,341.5,0.04482869692532943,6,17,45
PA,400000,0.0021,5.0,0.041999999999999996,1,1,25
MY,8300000,0.043575,120.0,0.0363125,2,6,25
ID,10600000,0.055649999999999984,160.5,0.03467289719626167,1,6,25
TW,7000000,0.03675,110.5,0.0332579185520362,1,5,25
IL,5100000,0.03213,107.0,0.03002803738317757,3,7,30
IT,9100000,0.07644,285.0,0.026821052631578947,6,21,40
DK,1300000,0.01092,44.5,0.02453932584269663,1,17,40
GB,16900000,0.14196,580.5,0.024454780361757106,11,45,40
CY,11000000,0.06929999999999999,358.5,0.01933054393305439,1,15,30
NZ,2900000,0.027404999999999995,155.5,0.017623794212218647,3,5,45
EG,21300000,0.04472999999999999,266.5,0.016784240150093804,1,11,10
NG,13900000,0.02919,205.0,0.014239024390243904,1,5,10
ZA,14600000,0.03066,260.0,0.011792307692307692,2,7,10
PT,2800000,0.023519999999999996,216.5,0.010863741339491915,1,10,40
BR,2700000,0.011339999999999998,110.0,0.010309090909090907,4,4,20
SU,800000,0.0042,50.0,0.0084,1,1,25
SG,5900000,0.030974999999999992,375.5,0.00824900133155792,1,22,25
AE,3800000,0.02394,322.0,0.007434782608695651,2,14,30
IC,800000,0.0042,60.5,0.006942148760330578,1,4,25
IE,2200000,0.01848,275.0,0.006719999999999999,3,19,40
UR,800000,0.00336,50.5,0.006653465346534654,1,2,20
AL,400000,0.00336,57.0,0.005894736842105263,1,6,40
HO,400000,0.0021,65.0,0.0032307692307692306,1,4,25
GU,400000,0.0021,65.5,0.0032061068702290076,1,5,25
VE,400000,0.00168,65.0,0.002584615384615385,1,4,20
GH,2400000,0.00504,205.0,0.0024585365853658538,1,5,10
QA,400000,0.00252,105.5,0.0023886255924170617,1,4,30
IS,400000,0.00336,168.5,0.0019940652818991097,1,13,40
DZ,400000,0.00084,56.0,0.0015,1,4,10
LE,400000,0.00252,257.5,0.0009786407766990291,1,11,30
TZ,400000,0.00084,105.0,0.0007999999999999999,1,3,10
MA,1200000,0.00252,332.0,0.0007590361445783132,2,16,10
PU,400000,0.0021,292.5,0.0007179487179487179,1,18,25
